,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5
10.25,0.035746548,0.025584473,0.044199333,0.037875061,0.033173429,0.041303879,0.032434545,0.032861825,0.038775196,0.037556098,0.0302267,0.026556276,0.032821922,0.050003521,0.047301547,0.057134633,0.031113272,0.036168071,0.03930193,0.036597658,0.032447552,0.038596883,0.051672169,0.044029786,0.037108434,0.041395349,0.043409091,0.038558341,0.041847673,0.035726744,0.036887822,0.036317568,0.045060606,0.039409327,0.040131579,0.036304829,0.046912988,0.042740214,0.052184741,0.043369579,0.042452416,0.042424242,0.040259239,0.045837983,0.039816514,0.050575841,0.035617352,0.031760937
10.75,0.036133695,0.029848552,0.03864466,0.043449746,0.034636962,0.043966324,0.04720594,0.035708125,0.028235113,0.047397843,0.036867415,0.033742092,0.030837341,0.047679414,0.033714933,0.04231129,0.025279533,0.031198893,0.04199773,0.0329534,0.029300699,0.045858236,0.050906655,0.037665599,0.04253012,0.043023256,0.044810606,0.055303869,0.039128668,0.034244186,0.044202526,0.038469922,0.034939394,0.034113212,0.036447368,0.036172811,0.037701606,0.039039146,0.047128519,0.044452777,0.041092887,0.037186147,0.041246405,0.034144164,0.041972477,0.032407821,0.04628351,0.033141847
11.25,0.031294361,0.024849287,0.034121568,0.029676996,0.027644524,0.045477441,0.033685033,0.044764533,0.033774427,0.040626722,0.04518739,0.034445052,0.034195863,0.028593563,0.029940873,0.031445636,0.018681853,0.03610517,0.034477866,0.032798325,0.027482517,0.034295928,0.039471796,0.042124859,0.03751004,0.040503876,0.044621212,0.046679419,0.046410601,0.036046512,0.040830905,0.042856364,0.040484848,0.035359357,0.032565789,0.039143206,0.040372564,0.03911032,0.042487359,0.040203308,0.044776774,0.041125541,0.029958367,0.035974113,0.046238532,0.041424873,0.036045903,0.036345559
11.75,0.025616209,0.028157624,0.021583876,0.02762748,0.029433287,0.054184356,0.045173896,0.051578403,0.044929989,0.035194079,0.036943745,0.038116067,0.036867415,0.03317135,0.033400428,0.039720803,0.028057504,0.024845893,0.029653802,0.023571373,0.027762238,0.034854494,0.033299842,0.041172396,0.042610442,0.039728682,0.041818182,0.042115507,0.038534863,0.042790698,0.041516658,0.029751526,0.038848485,0.026418268,0.032368421,0.034291561,0.034037599,0.03455516,0.02879028,0.044494438,0.041663012,0.038225108,0.035881368,0.028609685,0.038990826,0.041826623,0.035998286,0.038223597
12.25,0.024648342,0.026172622,0.025154737,0.025004099,0.032441662,0.037921854,0.034310277,0.031913058,0.023157409,0.028895363,0.042515838,0.028977583,0.040073277,0.026762448,0.021889546,0.021155645,0.03132162,0.026166813,0.03561294,0.034193999,0.030839161,0.026531866,0.027702024,0.03026236,0.031686747,0.032015504,0.037083333,0.044800161,0.040597556,0.040203488,0.033316189,0.033129904,0.036393939,0.033085143,0.034046053,0.035842767,0.041468342,0.030996441,0.036035016,0.03482898,0.040171915,0.042770563,0.030945534,0.03084133,0.032018349,0.04075529,0.03061759,0.03187141
12.75,0.02490644,0.01889428,0.025075385,0.025987867,0.032604277,0.022306973,0.030480657,0.026824219,0.028773657,0.033304464,0.020685444,0.018355073,0.025570567,0.021057821,0.014341427,0.031949342,0.02840475,0.039816329,0.030150397,0.02186555,0.023566434,0.030888678,0.02932874,0.027361676,0.036345382,0.031124031,0.041893939,0.042753113,0.029690283,0.039302326,0.032973313,0.034955318,0.034666667,0.033053989,0.037894737,0.032839368,0.033181522,0.034163701,0.035619953,0.02941299,0.042583984,0.04004329,0.036739774,0.037848694,0.027752294,0.032229265,0.033141279,0.030103844
13.25,0.027680991,0.025510954,0.014283447,0.020987047,0.015529718,0.015183133,0.020945682,0.025875453,0.022157255,0.019526022,0.019922143,0.032258065,0.022822685,0.012395239,0.025474903,0.020436065,0.029724286,0.028368348,0.033484677,0.022640924,0.027692308,0.030553539,0.038610593,0.04065287,0.040080321,0.029341085,0.032310606,0.039296621,0.030159077,0.031046512,0.040116578,0.034492153,0.035363636,0.033116296,0.030197368,0.036667877,0.027531418,0.027651246,0.030035469,0.021455651,0.03008508,0.042900433,0.036611013,0.026958268,0.026192661,0.03874654,0.036141136,0.02231551
13.75,0.031294361,0.028157624,0.020710998,0.028611248,0.021058623,0.009714327,0.022352481,0.01543902,0.011617172,0.017793874,0.020074803,0.01937046,0.023662316,0.006127192,0.011888288,0.013959847,0.028960344,0.026984526,0.016600454,0.021632938,0.018111888,0.018991231,0.02693651,0.030478829,0.028514056,0.027596899,0.024734848,0.025806235,0.027158796,0.037848837,0.032373278,0.037761552,0.027454545,0.030405932,0.033881579,0.024918314,0.023216793,0.022740214,0.024828315,0.024746907,0.024734672,0.023376623,0.029443324,0.024414193,0.023394495,0.028702794,0.025522594,0.039494034
14.25,0.02245451,0.025069843,0.024202508,0.014428595,0.010000813,0.008203209,0.024618992,0.009660169,0.014694568,0.012361231,0.023204336,0.019526673,0.026715518,0.007887879,0.015599446,0.015614881,0.024168345,0.025915209,0.01915437,0.015740095,0.025454545,0.020834497,0.02339601,0.02545675,0.026425703,0.029806202,0.027765152,0.027081446,0.026908773,0.033226744,0.029373107,0.029506321,0.03,0.031901305,0.031118421,0.026997591,0.029586001,0.022597865,0.022300204,0.029829605,0.024559249,0.034545455,0.025623417,0.028297255,0.023165138,0.026738684,0.025713061,0.030435263
14.75,0.018324945,0.02992207,0.017774956,0.017379898,0.007398976,0.006476218,0.013130129,0.006727618,0.016233267,0.015589324,0.013892069,0.014137312,0.021677735,0.010352842,0.020757328,0.019644528,0.014862143,0.021197635,0.022417707,0.02186555,0.024685315,0.025694018,0.019855509,0.021040783,0.024016064,0.021434109,0.019280303,0.027215678,0.028252649,0.025261628,0.030716041,0.025283348,0.030393939,0.029689398,0.030723684,0.029439916,0.028010821,0.01797153,0.022187005,0.027621547,0.025129375,0.025714286,0.02317696,0.026422674,0.017201835,0.024640657,0.029236703,0.0310981
