 speed bin,sector bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5,
12.75,38.6,25.7,31.6,31.7,40.1,31,39,31.1,37.4,42.3,27.1,23.5,33.5,29.9,22.8,44.4,40.9,63.3,42.5,28.2,33.7,55.3,61.3,63.2,90.5,80.3,110.6,127.4,95,135.2,115.4,128.3,114.4,106.1,115.2,99.5,96.9,96,94.4,70.6,97.1,92.5,85.6,84.8,60.5,72.2,69.6,54.5,
13.25,42.9,34.7,18,25.6,19.1,21.1,26.8,30,28.8,24.8,26.1,41.3,29.9,17.6,40.5,28.4,42.8,45.1,47.2,29.2,39.6,54.7,80.7,93.9,99.8,75.7,85.3,117.1,96.5,106.8,140.4,126.6,116.7,106.3,91.8,111.1,80.4,77.7,79.6,51.5,68.6,99.1,85.3,60.4,57.1,86.8,75.9,40.4,
13.75,48.5,38.3,26.1,34.9,25.9,13.5,28.6,17.9,15.1,22.6,26.3,24.8,31,8.7,18.9,19.4,41.7,42.9,23.4,27.9,25.9,34,56.3,70.4,71,71.2,65.3,76.9,86.9,130.2,113.3,138.6,90.6,97.6,103,75.5,67.8,63.9,65.8,59.4,56.4,54,68.6,54.7,51,64.3,53.6,71.5,
14.25,34.8,34.1,30.5,17.6,12.3,11.4,31.5,11.2,19.1,15.7,30.4,25,35,11.2,24.8,21.7,34.8,41.2,27,20.3,36.4,37.3,48.9,58.8,65.8,76.9,73.3,80.7,86.1,114.3,102.8,108.3,99,102.4,94.6,81.8,86.4,63.5,59.1,71.6,56,79.8,59.7,63.4,50.5,59.9,54,55.1,
14.75,28.4,40.7,22.4,21.2,9.1,9,16.8,7.8,21.1,19.8,18.2,18.1,28.4,14.7,33,27.3,21.4,33.7,31.6,28.2,35.3,46,41.5,48.6,59.8,55.3,50.9,81.1,90.4,86.9,107.5,92.8,100.3,95.3,93.4,89.2,81.8,50.5,58.8,66.3,57.3,59.4,54,59.2,37.5,55.2,61.4,56.3,
15.25,24.8,34.6,20.2,11.3,9.1,14.8,23.2,17.7,22.9,25.6,23.7,28.1,14.7,14.7,30.6,20.5,46.1,41.9,24.9,9.1,18.2,30.6,45.3,50.8,66.7,57.4,50.8,68.5,82.6,93.5,81.2,94,110.6,74,97.6,62.1,65.9,49,58,60.7,51.6,37.2,44.8,47.1,44.5,41.8,47.1,41.2,
15.75,31.7,15.8,14.8,6.8,9.1,4.6,14.5,8.9,13.2,10,26.9,22.5,14.8,14.7,26,23.9,28.8,36.3,14.8,13.6,13.5,35,37,44,55.7,60,52.2,62.9,73.6,93.9,82.2,98.1,85.2,58.5,67.9,74.3,49.6,72,60.6,47.7,39.6,35,58.3,51.5,38.1,37.3,48.8,26.8,
16.25,27,16.7,8.9,19.4,6.9,17.1,9.1,9,15.5,11.4,32.8,37.6,10.3,18.2,15.9,12.3,35.2,20.4,20.6,7.9,13.5,24.9,36.1,37.5,56.7,35,39.2,54.9,69.8,72.1,86.7,89.4,79.9,67.4,69.7,78.4,72.5,58.4,52.8,44.2,23.9,32.7,48.2,50.5,31.6,36.2,34.6,29.5,
16.75,20.5,11.3,4.6,10.1,8,20.6,4.6,4.6,8.9,3.4,28.5,23.9,20,11.4,26.1,14.5,25.6,13.6,13.7,22.7,16,15.9,23.8,30.7,25.9,29.4,39.7,46.2,52.1,59.6,98.9,91.4,67.1,78.2,72.2,56.1,51.4,59.9,41.8,31.9,28.4,24.8,32.5,37,19.2,29.2,38.3,16.7,
17.25,29.6,15.8,8,1.1,3.3,18.3,3.4,16.4,8.7,3.4,10.3,15.8,28.1,20.5,18.1,11.4,14.7,15.7,8,6.8,19.3,11.4,16.9,37.4,25.8,24.9,26,36,49.5,57.9,80.2,75.5,67,63.8,50.5,52.5,47.4,49.6,21.3,25,23.8,19.2,35.7,40.2,32.7,25.9,24.6,30.4,
